,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
64,미스피츠,관람객 평점 없음,"['액션', '모험', '스릴러']",미국,94분,15세 관람가,https://movie-phinf.pstatic.net/20210521_51/162158451369307FXL_JPEG/movie_image.jpg?type=m203_290_2,피어스 브로스넌, 팀 로스, 제이미 정,2021,06,03,"절도는 물론, 탈옥에도 일가견이 있는 범죄자 ‘페이스’. 그에게 뜻밖의 제안이 들어온다.변장에 능한 ‘링고’, 폭탄전문가 ‘윅’, 암살자 ‘바이올렛’, 물주 ‘프린스’, 그리고 ‘페이스’의 딸이자 이번 작전의 기획자 ‘호프’까지, 그들과 함께 테러 자금을 대는 교도소장 ‘슐츠’의 아부다비 교도소에 숨겨진 금을 털자는 것이다.스스로 사회 부적응자, 즉 ‘미스피츠’라 이름 지은 그들은 세상 나쁜 놈들에게 사이다 한 방을 날리기 위해 아부다비로 향하는데…"
65,테인티드,관람객 평점 없음,"['액션', '범죄', '스릴러']",미국,90분,청소년 관람불가,https://movie-phinf.pstatic.net/20210524_144/1621838648253yzCw3_JPEG/movie_image.jpg?type=m203_290_2,앨런 밴 스프랑, 존 랄스톤, 사라 와이즈글라스,2021,06,,"조직에게 버림받고 15년의 수감생활 끝에 출소해 두문불출하던 ‘랜스’는 과거로부터 완전히 자유로워지고자 또 한 번 위험천만한 제안을 수락한다. 반대파 조직원들을 순식간에 해치운 ‘랜스’의 범행 현장을 목격한 생존자가 경찰의 보호를 받게 되자 위협을 느낀 조직은 증거를 없애기 위해 '랜스'를 제거하려하고,, 그의 유일한 친구인 ‘안나’에게 마저 손길을 뻗치는데..."
66,솔저 발터,관람객 평점 없음,"['전쟁', '드라마']",독일,178분,청소년 관람불가,https://movie-phinf.pstatic.net/20210524_236/1621839309332PciI0_JPEG/movie_image.jpg?type=m203_290_2,야니스 니에브외너,,,2021,06,03,"[""1944년 여름, 동부전선으로 가는 기차에 탄 독일군 병사 '발터'."", 기차에서 우연히 만난 아름다운 '반다'에게 빠진 것도 잠시,"", 기차 폭발에서 살아남은 그를 기다리고 있는 것은 폴란드 레지스탕스.', 그들 사이에서 등장한 '반다'마저 그에게 총구를 겨누는데..."", 살아남을 확률 0%! 제2차 세계대전 말, 한 병사의 기적 같은 생존기가 펼쳐진다!"
68,아메리칸 히트맨,관람객 평점 없음,['액션'],캐나다,82분,청소년 관람불가,https://movie-phinf.pstatic.net/20210512_28/1620794871507eUzut_JPEG/movie_image.jpg?type=m203_290_2,커크 카우에트, 앤드리아 스테판시코바, 마이클 콥사,2021,07,29,피눈물 없는 암살자 딘. 죄책감도 망설임도 없이 피로 얼룩진 그에게 콜걸인 벨벳이 다가온다. 처음 느끼는 감정에 힘들어 하는 딘에게 벨벳의 살인 명령이 떨어진다. 딘은 모든 것을 버리고 조직과 처절한 사투를 벌이게 된다.
69,드래곤 헌터 트레져,관람객 평점 없음,"['판타지', '액션']",중국,67분,15세 관람가,https://movie-phinf.pstatic.net/20210513_76/1620871245654f5mBd_JPEG/movie_image.jpg?type=m203_290_2,이신호,,,2021,05,,용이 죽고난 후 보물이 사막 깊숙한 곳에 숨겨졌다. 10년마다 사막에서 용의 보물 창고 입구가 공개되면서 특별한 기술을 가진 사람들이 몰려들기 시작하는데...
70,풍마신룡 소걸아,관람객 평점 없음,"['판타지', '액션']",중국,83분,15세 관람가,https://movie-phinf.pstatic.net/20210517_5/1621220139071CBVgc_JPEG/movie_image.jpg?type=m203_290_2,팽옹사,,,2021,05,,항룡신장이 다시 강호에 나타나고 소걸아가 천문교와 대항한다! 천하제일 거지가 악의 세력을 없애고 백성을 평안하게 하는 위인으로 변한다.
71,전야,관람객 평점 없음,"['액션', '범죄']",한국,99분,청소년 관람불가,https://movie-phinf.pstatic.net/20210521_287/1621584622761yfnOa_JPEG/movie_image.jpg?type=m203_290_2,서한결, 홍아름, 박윤,2021,06,03,"양어머니 밑에서 ‘한나’와 함께 자란 ‘정우’는', 어려운 가정환경에 보탬이 되고자 외국으로 떠난다.', ', 하지만 뺑소니 교통 사고로 양어머니의 사망 소식을 접한 뒤', 한국으로 돌아오게 되고 이 사건에 지역 조직 태창파의 일원이자', ‘한나’의 동창 ‘철진’이 연관되어 있다는 사실을 알게 된다', ', 한편 세력 확장을 위해 일본 야쿠자 조직과 손잡은 태창파는', 자신들을 조여 오는 ‘정우’를 잡고자 ‘한나’를 납치하게 되고', 이에 정우는 더욱더 분노하게 되는데...', ', 모든 걸 잃은 한 남자의 분노가 폭발한다!"
72,꿈꾸는 고양이,관람객 평점 없음,['다큐멘터리'],한국,74분,전체 관람가,https://movie-phinf.pstatic.net/20210813_212/1628819598280454Cq_JPEG/movie_image.jpg?type=m203_290_2,남기형,,,2021,09,09,"서울의 달동네, 경기도 성남, 대구, 부산의 재개발 지역.곧 부서지고 버려질 이 동네엔 단지 살고 싶단 꿈을 꾸는 고양이들이 있다.그리고 그 곳엔 그 생명들을 지켜내기 위해 위험을 무릅쓰고 뛰어드는 사람들도 있다.우리는 개발로 인해 유용한 삶을 누리게 되겠지만그로 인해 삶의 터전을 잃어버리는 존재들이 있다는 건 잘 알지 못한다.건물과 함께 무너져 내리는 길 위 고양이들의 삶.우린 어떻게 하면 이 아이들의 생명과 삶의 터전을 지켜줄 수 있을까?무너지는 그곳에서 만난 아이에게 꿈이란 이름을 붙여주고아이들을 지켜내기 위해 고군분투하는 사람들의 모습에서공존하는 삶을 꿈꾸는 여정이 시작된다."
76,머룬 베레: 보이지 않는 전사,관람객 평점 없음,"['전쟁', '액션']",터키,110분,전체 관람가,https://movie-phinf.pstatic.net/20210511_173/1620722867487FM22j_JPEG/movie_image.jpg?type=m203_290_2,센크 에르탄, 오구즈 야그치, 알리 에르템,2021,06,04,터키 정보국은 IS조직을 소탕한다는 명분 하에 미국이 시리아 쿠르드 민병대에게 제공한 미사일 탄두 두 개가 탈취당했다는 사실과 이를 주도한 조직이 미사일 탄두를 터키에 반입하려는 음모가 있다는 기밀 정보를 확인하고 이를 막기 위해 메흐메트 대위가 이끄는 머룬 부대 최정예 팀을 작전에 투입한다. 연일 내전에 시달리고 있는 시리아의 아프린 지역으로 향한 메흐메트와 그의 팀은 미사일 탄두를 탈취한 조직이 이를 이용해 터키를 궁지에 몰아넣으려는 계획을 실행하고 있음을 확인하고 이 조직의 뒤를 쫓기 시작하는데...
80,변신 : 어느날 갑자기,관람객 평점 없음,['공포'],영국,89분,15세 관람가,https://movie-phinf.pstatic.net/20210412_37/1618216964833sFzSj_JPEG/movie_image.jpg?type=m203_290_2,제미마 웨스트, 크리스토퍼 데인,,2021,09,09,군의관 엘리자베스는 스스로 PTSD를 의심하며 집으로 돌아온다. 가족과 함께 치료를 하던 중 무서운 환상이 점점 더 심해짐을 경험한다. 그리고 이웃에 살고 있는 퇴마사로부터 그녀와 가족들이 집 주변에 스며든 고대 악령으로부터 공격을 받고 있다는 경고를 받는다. 이제 그녀는 가족을 지키기 위해 악령과 목숨을 건 싸움을 벌이게 된다.
81,봉신전설,관람객 평점 없음,['액션'],중국,88분,12세 관람가,https://movie-phinf.pstatic.net/20210416_164/16185374894632iXh8_JPEG/movie_image.jpg?type=m203_290_2,마목훤,,,2021,05,,"[""저승에 1만 년간 봉인되어 있는 절대 악 '무극사존'이 신물 '구혼삭'을 훔쳐 달아나자"", 인간 세상에는 알 수 없는 죽음들이 이어지며 혼란에 휩싸인다.', ', 기묘한 죽음을 파헤치는 포두 '범무구'"", 살해 위협을 당하다 간신히 살아난 서생 '사필안'"", ', 이 둘은 괴상한 사건에 휘말려 '무극사존' 필적하는"", 신물 '태극음양'을 찾아 나서게 되는데...""]"
83,리얼생존예능 펀하우스,관람객 평점 없음,"['범죄', '스릴러']",스웨덴,106분,청소년 관람불가,https://movie-phinf.pstatic.net/20210414_171/1618384910683kHVeB_JPEG/movie_image.jpg?type=m203_290_2,발테르 스카스가드,,,2021,04,22,"우승상금 5백만 달러가 걸린 온라인 리얼생존예능에', 세계 각지의 한물간 셀럽들이 모인다.', 참가자 8명은 ‘펀하우스’라는 공간에서', 자신의 모든 것을 여과없이 전세계 시청자들에게 보여주게 되고,', 이를 본 시청자들은 3일마다 투표를 통해 탈락자와 다음 도전과제를 정한다.', ', 광란의 3일을 보내고 첫 번째 탈락자가 정해진 순간,', 참가자들은 탈락이 곧 죽음을 의미하는 것임을 목격한다.', ', 실체를 드러내는 펀하우스,', 지금부터 생존을 위한 질펀한 예능이 시작된다!"
93,트립 투 아메리카,관람객 평점 없음,['드라마'],미국,75분,전체 관람가,https://movie-phinf.pstatic.net/20210408_42/16178433519650Fboy_JPEG/movie_image.jpg?type=m203_290_2,그레고리 레이, 메리 그린월트,,2021,04,,일도 사랑도 마음먹은 대로 안 풀리는 무명 배우 라이언은 유년기를 함께 보낸 사촌 허드슨을 불쑥 찾아간다.얼마 전 엄마를 잃고 혼자 외롭게 지내던 허드슨은 체리리지에 있는 버드나무에엄마의 유해를 뿌릴 수 있도록 데려다 달라고 라이언에게 부탁한다.반쯤 고장 난 자동차를 타고 버드나무를 찾아가던 허드슨과 라이언은주유소에서 선라이즈라는 유쾌한 여자를 만나 동행하게 된다.버드나무까지 가는 길에 세 사람은 예상치 못한 일들을 겪으며과거의 사연과 속마음까지 서로에게 털어놓게 되는데...
96,사운드 오브 데스,관람객 평점 없음,"['공포', '범죄', '스릴러']",핀란드,94분,청소년 관람불가,https://movie-phinf.pstatic.net/20210823_219/1629699435168Ph58v_JPEG/movie_image.jpg?type=m203_290_2,자스민 사보이 브라운, 릴리 시몬스, 제임스 재거,2021,09,09,"실험적인 음악과 소리를 연구하는 알렉시스.폭력의 소리를 수집하는 그녀는 끊임없이 목마름을 느낀다.어느 날, 행인의 우연한 죽음을 목격한 그녀,죽음의 소리만이 자신의 쾌감을 채울 수 있다는 것을 알게 된 그녀는이후 죽음의 음악을 만들기 위한 살육을 시작한다.노숙자, 레코드 샵 오너, 하프 연주자…알렉시스는 죽음의 비트를 찍어 나가는데…"
99,베르나르다 알바,관람객 평점 없음,"['공연실황', '뮤지컬']",한국,106분,15세 관람가,https://movie-phinf.pstatic.net/20210408_221/16178588420081nstj_JPEG/movie_image.jpg?type=m203_290_2,정영주, 황석정, 김국희,2021,04,28,"1930년대 초 스페인 남부, 안달루시아 지방의 한 마을.두 번째 남편 안토니오를 갑작스런 죽음으로 잃은 베르나르다 알바는 늙은 어머니와  다섯 명의 딸과 함께 지낸다. 안토니오의 식솔들과 농장을 포함한 재산을 상속받아 관리하고 있는 그녀는 권위적인 가장이 되었다.안토니오의 8년상을 치르는 동안 베르나르다 알바는 가족들이 마을 사람들과의 교류조차 이어갈 수 없도록 철저하게 감시하며, 극도로 절제된 삶을 강요한다.이러한 상황 속에서 그녀의 첫째 딸 앙구스티아스는 연하의 약혼자 페페와의 결혼을 서두르고, 페페의 모습에 호감을 느끼게 되는 자매들 간에 미묘한 긴장감이 생기기 시작한다.겉보기에 평온하게 보이는 베르나르다 알바의 집.그 안에서 베르나르다 알바와 가족들은 각자의 정열적인 감정들에 의해 시기하고 대립하며 결국 파국으로 치닫게 된다."
100,어썰트 33,관람객 평점 없음,['액션'],미국,89분,15세 관람가,https://movie-phinf.pstatic.net/20210330_135/1617070011886A8YdX_JPEG/movie_image.jpg?type=m203_290_2,숀 패트릭 프레너리, 마이클 제이 화이트, 마크 다카스코스,2021,04,22,훈장을 받은 베테랑이자 PTSD를 앓고 있는 제이슨은 아내 제니퍼가 근무하는 재향군인 병원 VA 33에서 치료를 받고 있다. 때마침 미군 합참의장이 비밀리에 병원을 긴급 방문한다. 이때 중무장한 테러리스트들이 병원을 기습 점거한다. 때마침 병원을 떠나려던 제이슨은 외부의 지원도 받지 못한 상황에서 테러리스트들과 대결을 펼치게 된다.
103,코스믹 씬,관람객 평점 없음,"['SF', '액션']",미국,88분,12세 관람가,https://movie-phinf.pstatic.net/20210409_204/1617954555240wYCma_JPEG/movie_image.jpg?type=m203_290_2,브루스 윌리스, 프랭크 그릴로, 코리 라지,2021,04,22,"인류가 우주를 식민지로 지배하고 있는 서기 2524년,연맹의 장군 ‘제임스 포드’는 무리한 작전으로행성 하나를 파괴하고 불명예 제대를 하게 된다.인류를 지배하려는 외계 함대의 공격이 발생하자‘제임스 포드’ 장군은 정예 부대와 함께이들을 제압하라는 부탁을 받게 된다.하지만 외계 함대와 접촉하며 이미 조종된 인류는연맹 군대를 공격하기 시작하는데...인류의 마지막을 지켜라!단 하나의 우주전쟁 블록버스터가 온다!"
104,로스트 인 스페이스: 타이탄의 반격,관람객 평점 없음,"['SF', '액션']",미국,90분,15세 관람가,https://movie-phinf.pstatic.net/20210319_90/1616131334445nBT2I_JPEG/movie_image.jpg?type=m203_290_2,멜리나 메튜스, 톰 매든, 라이언 맥코믹,2021,04,,"우주 문명을 이룩했으나 초월적 기술력을 갖춘 외계 종족에 의해 암울한 미래를 맞이하게 된 인류.', 서로 다른 시간대, 저마다의 이유로 조종간을 잡게 된 함대 전투기 파일럿들이 최후의 일전을 준비한다."
105,뱅퀴시,관람객 평점 없음,"['액션', '범죄', '스릴러']",미국,94분,15세 관람가,https://movie-phinf.pstatic.net/20210602_222/1622600165626gehk0_JPEG/movie_image.jpg?type=m203_290_2,모건 프리먼, 루비 로즈,,2021,06,24,"국가 영웅이었던 전직 경찰국장은 ', 도시를 장악한 5대 조직과 사건에 휘말린다.', 그는 마약 운반책이었으나 손을 씻은 그녀의', 딸을 볼모로 잡고 위험한 미션을 제안한다.', 단 하룻밤, 5대 조직으로부터 5번의 픽업을 하라!', 그녀의 킬러 본능이 폭발하고, 도시는 전쟁으로 치닫는데…', ', 오늘 밤, 그녀의 분노가 폭주한다!"
106,워 히어로: 솔져 오브 갓,관람객 평점 없음,['액션'],미국,81분,15세 관람가,https://movie-phinf.pstatic.net/20210303_103/1614732166457133SO_JPEG/movie_image.jpg?type=m203_290_2,제리 체서,,,2021,04,,"[""영화 '포레스트 검프' 주인공 이름의 모티브가 된 실존 인물인 네이선 베드퍼드 포레스트의 일생을 그린 영화., 포레스트는 미국 남북전쟁 당시 남부 연합의 장군으로 전쟁에 참여해 맹활약을 펼친 역사적 인물이다.가난한 대장장이의 아들이었지만 타고난 리더십이 있었던 포레스트는1861년 남부 연합군에 입대 후 곧 지휘관의 자리에 오르게 된다.다른 장교들과는 달리 늘 기발한 전술과 전략을 구사하며 '안장 위의 마법사'라는 별명까지 얻었던 포레스트., 미국 남북전쟁의 숨은 영웅이었던 그의 이야기를 영화로 만나보자"
